,B_0,A_0,D_0,e_BD,alpha_B,alpha_D,alpha_Y,tau_B,tau_D,tau_Y,a_A,a_D,sigma_A,sigma_D,x_A,x_D,n_D,p_in,MSE,MSEM,MSEB,MSEP,MSEO
CHESTERMERE LAKE,0.028757608997992408,0.02864624318023065,0.007608817018547161,0.7189617312383152,0.0068414526757036185,0.0018411140085156023,0.009901388163819103,1.1449971476374083,1.664841754029072,0.709185673117298,0.03996520810859481,0.042779403449326826,0.0013996779649132225,0.0026119115626559316,0.006559286142134276,0.003578851300937269,0.05609498344411949,0.24780195411369849,0.11539933893383095,,0.11539933893383095,,
CHESTERMERE LAKE,0.04404010114311682,0.0061627675986661995,0.028932722012599804,0.7542822284667052,0.003966617552590278,0.007005190025671497,0.003339694715087638,1.4569699496982969,0.8277814678810567,0.6057520135319749,0.0662486608071359,0.09294567811092808,0.0022730188971646684,0.004038436563227857,0.008723601598794853,0.00931999715048229,0.145803273571727,0.2857811883636391,4.555072198947711,,4.555072198947711,,
CHESTERMERE LAKE,0.09568110036013117,0.09990422203378045,0.02765402644381846,0.7441999707837721,0.002032092343994674,0.008748311033232507,0.007662755273046482,0.4248974054967267,1.6916461519984904,1.44106766601455,0.04556474836175495,0.0038061736339476127,0.009916125725748343,0.009669937958460988,0.008887868983573573,0.004294815683080625,0.020692797153199445,0.028579924278960833,0.05443594538798972,,0.05443594538798972,,
CHESTERMERE LAKE,0.07832055035830965,0.06885055972669013,0.0809230983484124,0.7735046324635925,0.009910157139160686,0.009671531243130438,0.010219611917232928,1.7710473959120634,1.0360754362841456,1.9191747130515404,0.002490187415327888,0.07215028301350598,0.005711773792235293,0.009418841511926103,0.0015115744505977396,0.007705071361823465,0.05358393741660794,0.19067103138470393,6.227666806883724e-05,,6.227666806883724e-05,,
CHESTERMERE LAKE,0.02356977411325072,0.05488860301719414,0.03811447879889947,0.7915154794303054,0.0011155436924285425,0.009370506743589094,0.007884029493951025,0.7532747467046361,1.679323507720373,0.9797237289296937,0.03518952424574019,0.08566306116132164,0.0029436876406097098,0.006738724706487717,0.007901089105723565,0.0043535913949128615,0.12786038793812401,0.17371541077140443,1.3249302533539065,,1.3249302533539065,,
CHESTERMERE LAKE,0.06301305307257626,0.046572469105138896,0.07437705829501749,0.7393116343817637,0.006727967640865295,0.009542448463853924,0.008756625362284436,1.8484170777388682,1.5419028102381236,1.7854762640964468,0.09892536272654338,0.05556969114861549,0.005803075986588778,0.006443117075069549,0.007587592629140813,0.00978564353443984,0.1023652259873653,0.029022355754836374,0.012718449592186256,,0.012718449592186256,,
CHESTERMERE LAKE,0.08542702480898054,0.02250907442773489,0.042502897817663296,0.7568125634544693,0.0019843512404854255,0.0033170693571974593,0.0008888741291661079,0.45456271958155514,1.819742856431057,1.4240200761641484,0.09314495368439885,0.02018985843219143,0.0018690289926061397,0.0019705234411109026,0.0011507749351155555,0.0011032032802631318,0.13853593848872708,0.0912251157735808,0.566883783929183,,0.566883783929183,,
CHESTERMERE LAKE,0.05791396763553826,0.09143690496157042,0.03999377879195931,0.6554754463013293,0.007682060392909256,0.007736538508476717,0.0014328452553373887,0.5449833557556053,1.617248634826998,1.8707174383909013,0.037321641856598683,0.0047436093746242095,0.0010189348187031304,0.0010787903590314197,0.003003341724802528,0.008690073723740192,0.01260726810872391,0.28148043120714117,6.712571004347599e-05,,6.712571004347599e-05,,
CHESTERMERE LAKE,0.007947458824911123,0.041007793854975,0.08672623195121357,0.7470843922422261,0.0010487159787417634,0.004081874083398718,0.00800585958646538,1.8980300360634654,1.224597007809407,1.6879115401358304,0.08904408858748283,0.08672860569365834,0.004497904100684392,0.009024967883232088,0.0018271655493123412,0.002156608282593942,0.05945375640483051,0.15524651160590736,1.3547343710380755,,1.3547343710380755,,
CHESTERMERE LAKE,0.04214041147926643,0.050880732027401065,0.05138592937187302,0.6578241235752457,0.0017317291492277573,0.0023726193322685875,0.007032206070292001,0.4894022879724761,0.8068258141721275,1.0043224380384705,0.04869226524441856,0.08801929580180498,0.006365673764787874,0.002887349996675999,0.006248589492530987,0.006579641241731741,0.10924100260248265,0.19578617195543765,2.072758452478681,,2.072758452478681,,
